ObjectId,stopdate,stoptime,streetnbr,streetdir,street,Min_,sex,race,ethnic,Year_of_birth,enfaction,rpmainid
5045,2018/08/01 00:00:00,1248,,,FOOTHILLS PKWY/ARAPAHOE AVE,10,M,A,N,1961,Y,7973
5046,2018/08/01 00:00:00,1900,2099,,FOLSOM ST/SPRUCE ST,10,M,W,N,1984,N,7974
5047,2018/08/01 00:00:00,2245,2099,,FOLSOM ST/SPRUCE ST,5,F,W,N,1996,N,7975
5048,2018/08/01 00:00:00,1630,,,27TH WAY/BROADWAY,5,M,W,N,1979,Y,7976
5049,2018/08/01 00:00:00,1845,,,30TH ST/PEARL PKWY,15,M,W,N,1979,N,7977
5050,2018/08/01 00:00:00,1853,,,30TH ST/PEARL PKWY,15,M,W,N,1988,N,7978
5051,2018/08/01 00:00:00,1935,,,20TH/CANYON BLVD,15,F,W,N,1975,N,7979
5052,2018/08/01 00:00:00,2000,1799,,15TH ST/CANYON BLVD,15,M,W,N,1969,Y,7980
5053,2018/07/28 00:00:00,1210,1198,,28TH ST/COLORADO AVE,10,F,W,N,1991,N,7896
5054,2018/07/24 00:00:00,1145,1275,,ALPINE AVE,10,F,W,N,2000,Y,7805
5055,2018/07/28 00:00:00,1149,39000,,US HIGHWAY 36,10,F,W,N,1972,N,7897
5056,2018/07/26 00:00:00,1,,,GREENBRIAR BLVD/S BROADWAY,10,M,W,N,1987,N,7806
5057,2018/07/28 00:00:00,1130,39000,,US HIGHWAY 36,10,M,W,N,1988,N,7898
5058,2018/07/24 00:00:00,2045,1699,,BROADWAY/ARAPAHOE AVE,18,F,W,N,1985,N,7807
5059,2018/07/28 00:00:00,2050,3599,,BROADWAY/KALMIA AVE,5,F,W,N,1982,N,7899
5060,2018/07/26 00:00:00,30,1700,,13TH ST/ARAPAHOE AVE,10,M,W,H,1997,N,7808
5061,2018/07/28 00:00:00,2100,4799,,BROADWAY/LEE HILL DR,15,F,W,N,1958,Y,7900
5062,2018/07/15 00:00:00,55,1199,,30TH ST/COLORADO AVE,5,M,W,N,1950,Y,7692
5063,2018/07/26 00:00:00,15,1700,,13TH ST/ARAPAHOE AVE,10,M,W,N,1971,N,7809
5064,2018/07/24 00:00:00,1815,1900,,17TH ST,10,M,W,N,1970,N,7765
5065,2018/07/26 00:00:00,57,2599,,BROADWAY/NORTH ST,10,F,W,N,1971,N,7810
5066,2018/07/28 00:00:00,248,880,,W MOORHEAD CIR,5,F,W,N,1972,Y,7901
5067,2018/07/19 00:00:00,45,999,,13TH ST/EUCLID AVE,5,M,W,N,1994,Y,7693
5068,2018/07/26 00:00:00,100,1900,,30TH ST,10,M,W,H,1980,Y,7811
5069,2018/07/24 00:00:00,1816,4998,,BASELINE RD/FOOTHILLS PKWY,10,M,W,N,1991,Y,7766
5070,2018/07/27 00:00:00,2305,1505,,30TH ST,6,M,W,N,1988,N,7902
5071,2018/07/19 00:00:00,2200,899,,20TH ST/BROADWAY,15,F,W,N,1995,Y,7694
5072,2018/07/26 00:00:00,115,2900,,ARAPAHOE AVE,15,M,W,N,1977,N,7812
5073,2018/07/24 00:00:00,204,802,,16TH ST,15,M,W,H,1927,N,7767
5074,2018/07/28 00:00:00,500,2860,,ARAPAHOE AVE,5,M,W,N,1965,N,7903
5075,2018/07/21 00:00:00,5,,,27TH WAY/BASELINE RD,10,M,W,N,1990,N,7695
5076,2018/07/25 00:00:00,2303,4799,,BROADWAY/LEE HILL DR,20,M,W,N,2003,Y,7813
5077,2018/07/24 00:00:00,516,2600,,SPRUCE ST,10,M,W,N,1978,N,7768
5078,2018/07/28 00:00:00,506,2860,,ARAPAHOE AVE,15,F,W,N,1959,N,7904
5079,2018/07/21 00:00:00,1820,,,13TH ST/CANYON BLVD,5,M,W,N,1987,N,7696
5080,2018/07/25 00:00:00,2303,4799,,BROADWAY/LEE HILL DR,20,M,W,N,2003,Y,7814
5081,2018/07/24 00:00:00,525,2600,,SPRUCE ST,10,F,W,N,1990,N,7769
5082,2018/07/28 00:00:00,1649,,,MOHAWK DR/BASELINE RD,10,M,W,N,1985,Y,7905
5083,2018/07/21 00:00:00,1850,899,,20TH ST/BROADWAY,5,M,W,N,1974,N,7697
5084,2018/07/21 00:00:00,1915,3199,,30TH ST/GLENWOOD DR,5,M,W,H,1967,N,7698
5085,2018/07/21 00:00:00,1811,2199,,BROADWAY/PINE ST,10,F,W,N,1994,Y,7699
5086,2018/07/21 00:00:00,2105,2398,,CANYON BLVD/FOLSOM ST,10,F,W,N,1999,Y,7700
5087,2018/07/21 00:00:00,1853,3500,,28TH ST,8,M,W,N,1968,Y,7701
5088,2018/07/19 00:00:00,1940,1575,,30TH ST,10,M,W,N,1992,Y,7702
5089,2018/07/21 00:00:00,1947,1575,,30TH ST,10,F,W,N,1996,Y,7703
5090,2018/07/20 00:00:00,2128,1999,,BROADWAY/PEARL ST,10,F,W,N,1993,N,7704
5091,2018/07/12 00:00:00,2110,1236,,CANYON BLVD,10,M,W,N,1963,N,7705
5092,2018/07/21 00:00:00,1910,1575,,30TH ST,10,M,W,N,1994,N,7706
5093,2018/07/19 00:00:00,2033,4799,,KELLOGG CIR/EISENHOWER DR,10,M,W,N,2002,Y,7707
5094,2018/07/18 00:00:00,1805,1899,,BROADWAY/WALNUT ST,10,M,W,N,1989,N,7708
